,Infuse,Alternate,Foreshadow,Revoke,Exchange,Trust,Enrich,Plunder,,Total
Washer Barajas,42,0,67,0,0,0,0,0,,109
Kurt Crueller,0,0,0,0,0,0,0,0,,0
Francisco Preston,0,0,0,0,0,0,0,0,,0
Bevan Wise,14691,0,0,0,0,0,0,0,,14691
Bonk Jokes,0,0,0,0,0,0,0,0,,0
Chorby Short,10,0,0,0,0,80,0,0,,90
Wyatt Glover,615,450,14077,300,50,1,0,0,,15493
Eizabeth Elliott,0,0,0,0,0,0,0,0,,0
Oscar Dollie,0,0,0,0,0,0,0,0,,0
James Mora,0,0,0,0,0,0,0,0,,0
Logan Rodriguez,0,0,75,0,10,0,0,0,,85
Inky Rutledge,0,0,0,0,0,0,0,0,,0
Curry Aliciakeyes,0,0,0,0,0,0,0,0,,0
King Weatherman,0,0,0,0,0,0,0,0,,0
,,,,,,,,,,
Total,15358,450,14219,300,61,81,30,989,,
