will_1,will_2,relative_prob,will_combo
Move,Transfuse,0.72706,Move + Transfuse
Exchange,Transfuse,0.08245000000000001,Exchange + Transfuse
Exchange,Move,0.08209,Exchange + Move
Alternate Trust,Transfuse,0.017560000000000003,Alternate Trust + Transfuse
Alternate Trust,Move,0.01608,Alternate Trust + Move
Foreshadow,Transfuse,0.01533,Foreshadow + Transfuse
Foreshadow,Move,0.01484,Foreshadow + Move
Enrich,Transfuse,0.01036,Enrich + Transfuse
Enrich,Move,0.01016,Enrich + Move
Move,Plunder,0.0088,Move + Plunder
Plunder,Transfuse,0.00859,Plunder + Transfuse
Alternate Trust,Exchange,0.00186,Alternate Trust + Exchange
Exchange,Foreshadow,0.0015800000000000002,Exchange + Foreshadow
Enrich,Exchange,0.00116,Enrich + Exchange
Exchange,Plunder,0.0009100000000000001,Exchange + Plunder
Alternate Trust,Foreshadow,0.00024,Alternate Trust + Foreshadow
Enrich,Foreshadow,0.00023999999999999998,Enrich + Foreshadow
Alternate Trust,Enrich,0.00021000000000000004,Alternate Trust + Enrich
Foreshadow,Plunder,0.00019,Foreshadow + Plunder
Alternate Trust,Plunder,0.00016,Alternate Trust + Plunder
Enrich,Plunder,0.00013000000000000002,Enrich + Plunder
