will_1,will_2,relative_prob,will_combo
Foreshadow,Move,0.34387,Foreshadow + Move
Alternate Trust,Foreshadow,0.13755,Alternate Trust + Foreshadow
Foreshadow,Transfuse,0.12078000000000001,Foreshadow + Transfuse
Alternate Trust,Move,0.11066000000000001,Alternate Trust + Move
Move,Transfuse,0.09864999999999999,Move + Transfuse
Alternate Trust,Transfuse,0.03826,Alternate Trust + Transfuse
Foreshadow,Plunder,0.024430000000000004,Foreshadow + Plunder
Move,Plunder,0.01937,Move + Plunder
Exchange,Foreshadow,0.018949999999999998,Exchange + Foreshadow
Foreshadow,Reform,0.014910000000000001,Foreshadow + Reform
Exchange,Move,0.014589999999999999,Exchange + Move
Move,Reform,0.011659999999999998,Move + Reform
Alternate Trust,Plunder,0.007549999999999999,Alternate Trust + Plunder
Plunder,Transfuse,0.00647,Plunder + Transfuse
Alternate Trust,Exchange,0.00601,Alternate Trust + Exchange
Alternate Trust,Reform,0.005050000000000001,Alternate Trust + Reform
Exchange,Transfuse,0.0049099999999999994,Exchange + Transfuse
Enrich,Foreshadow,0.00414,Enrich + Foreshadow
Reform,Transfuse,0.00397,Reform + Transfuse
Enrich,Move,0.00307,Enrich + Move
Alternate Trust,Enrich,0.0011,Alternate Trust + Enrich
Enrich,Transfuse,0.0010799999999999998,Enrich + Transfuse
Exchange,Plunder,0.00105,Exchange + Plunder
Plunder,Reform,0.0008,Plunder + Reform
Exchange,Reform,0.00058,Exchange + Reform
Enrich,Plunder,0.00023999999999999998,Enrich + Plunder
Enrich,Exchange,0.00015999999999999999,Enrich + Exchange
Enrich,Reform,0.00014,Enrich + Reform
