will_1,will_2,relative_prob,will_combo
Move,Transfuse,0.48342999999999997,Move + Transfuse
Reform,Transfuse,0.09128,Reform + Transfuse
Move,Reform,0.09025,Move + Reform
Exchange,Transfuse,0.06233000000000001,Exchange + Transfuse
Exchange,Move,0.06130000000000001,Exchange + Move
Foreshadow,Transfuse,0.03394,Foreshadow + Transfuse
Foreshadow,Move,0.03381,Foreshadow + Move
Alternate Trust,Transfuse,0.02029,Alternate Trust + Transfuse
Alternate Trust,Move,0.01964,Alternate Trust + Move
Plunder,Transfuse,0.016560000000000002,Plunder + Transfuse
Move,Plunder,0.015809999999999998,Move + Plunder
Enrich,Transfuse,0.01444,Enrich + Transfuse
Enrich,Move,0.01397,Enrich + Move
Exchange,Reform,0.01179,Exchange + Reform
Foreshadow,Reform,0.00611,Foreshadow + Reform
Exchange,Foreshadow,0.0038600000000000006,Exchange + Foreshadow
Alternate Trust,Reform,0.0037900000000000004,Alternate Trust + Reform
Plunder,Reform,0.0031600000000000005,Plunder + Reform
Alternate Trust,Exchange,0.00239,Alternate Trust + Exchange
Enrich,Reform,0.00229,Enrich + Reform
Exchange,Plunder,0.0020800000000000003,Exchange + Plunder
Enrich,Exchange,0.00188,Enrich + Exchange
Alternate Trust,Foreshadow,0.0014900000000000002,Alternate Trust + Foreshadow
Foreshadow,Plunder,0.00123,Foreshadow + Plunder
Enrich,Foreshadow,0.00096,Enrich + Foreshadow
Alternate Trust,Enrich,0.0007300000000000001,Alternate Trust + Enrich
Alternate Trust,Plunder,0.0006500000000000001,Alternate Trust + Plunder
Enrich,Plunder,0.00054,Enrich + Plunder
