will_1,will_2,relative_prob,will_combo
Exchange,Move,0.52508,Exchange + Move
Exchange,Plunder,0.1589,Exchange + Plunder
Move,Plunder,0.15444999999999998,Move + Plunder
Exchange,Transfuse,0.03342,Exchange + Transfuse
Move,Transfuse,0.03231,Move + Transfuse
Exchange,Foreshadow,0.021410000000000002,Exchange + Foreshadow
Foreshadow,Move,0.02136,Foreshadow + Move
Alternate Trust,Exchange,0.00995,Alternate Trust + Exchange
Alternate Trust,Move,0.00953,Alternate Trust + Move
Plunder,Transfuse,0.00913,Plunder + Transfuse
Foreshadow,Plunder,0.0062,Foreshadow + Plunder
Enrich,Move,0.0045000000000000005,Enrich + Move
Enrich,Exchange,0.00449,Enrich + Exchange
Alternate Trust,Plunder,0.0029300000000000003,Alternate Trust + Plunder
Foreshadow,Transfuse,0.0012,Foreshadow + Transfuse
Enrich,Plunder,0.00111,Enrich + Plunder
Move,Reform,0.0010899999999999998,Move + Reform
Exchange,Reform,0.00101,Exchange + Reform
Alternate Trust,Transfuse,0.00049,Alternate Trust + Transfuse
Plunder,Reform,0.00033999999999999997,Plunder + Reform
Alternate Trust,Foreshadow,0.00033,Alternate Trust + Foreshadow
Enrich,Transfuse,0.00031999999999999997,Enrich + Transfuse
Enrich,Foreshadow,0.00019,Enrich + Foreshadow
Reform,Transfuse,0.00012,Reform + Transfuse
Alternate Trust,Enrich,7.999999999999999e-05,Alternate Trust + Enrich
Foreshadow,Reform,4e-05,Foreshadow + Reform
Alternate Trust,Reform,1.9999999999999998e-05,Alternate Trust + Reform
