will_1,will_2,relative_prob,will_combo
Reform,Transfuse,0.34122,Reform + Transfuse
Enrich,Transfuse,0.14909999999999998,Enrich + Transfuse
Enrich,Reform,0.08853,Enrich + Reform
Exchange,Transfuse,0.07768,Exchange + Transfuse
Plunder,Transfuse,0.05294,Plunder + Transfuse
Exchange,Reform,0.045919999999999996,Exchange + Reform
Foreshadow,Transfuse,0.036699999999999997,Foreshadow + Transfuse
Plunder,Reform,0.03132,Plunder + Reform
Alternate Trust,Transfuse,0.02418,Alternate Trust + Transfuse
Move,Transfuse,0.022940000000000002,Move + Transfuse
Foreshadow,Reform,0.02133,Foreshadow + Reform
Enrich,Exchange,0.018789999999999998,Enrich + Exchange
Alternate Trust,Reform,0.01489,Alternate Trust + Reform
Enrich,Plunder,0.01293,Enrich + Plunder
Move,Reform,0.01267,Move + Reform
Enrich,Foreshadow,0.00878,Enrich + Foreshadow
Exchange,Plunder,0.0070799999999999995,Exchange + Plunder
Alternate Trust,Enrich,0.00588,Alternate Trust + Enrich
Enrich,Move,0.00546,Enrich + Move
Exchange,Foreshadow,0.00511,Exchange + Foreshadow
Exchange,Move,0.00308,Exchange + Move
Foreshadow,Plunder,0.00302,Foreshadow + Plunder
Alternate Trust,Exchange,0.00259,Alternate Trust + Exchange
Alternate Trust,Plunder,0.0022199999999999998,Alternate Trust + Plunder
Move,Plunder,0.0018600000000000003,Move + Plunder
Alternate Trust,Foreshadow,0.00156,Alternate Trust + Foreshadow
Foreshadow,Move,0.0013499999999999999,Foreshadow + Move
Alternate Trust,Move,0.0008699999999999999,Alternate Trust + Move
