will_1,will_2,relative_prob,will_combo
Exchange,Transfuse,0.25347000000000003,Exchange + Transfuse
Foreshadow,Transfuse,0.17916,Foreshadow + Transfuse
Exchange,Foreshadow,0.0945,Exchange + Foreshadow
Plunder,Transfuse,0.06608,Plunder + Transfuse
Move,Transfuse,0.0533,Move + Transfuse
Enrich,Transfuse,0.05176000000000001,Enrich + Transfuse
Alternate Trust,Transfuse,0.04187,Alternate Trust + Transfuse
Exchange,Plunder,0.03477,Exchange + Plunder
Exchange,Move,0.02835,Exchange + Move
Enrich,Exchange,0.02741,Enrich + Exchange
Foreshadow,Plunder,0.025490000000000002,Foreshadow + Plunder
Alternate Trust,Exchange,0.02215,Alternate Trust + Exchange
Foreshadow,Move,0.02,Foreshadow + Move
Enrich,Foreshadow,0.01946,Enrich + Foreshadow
Alternate Trust,Foreshadow,0.01498,Alternate Trust + Foreshadow
Reform,Transfuse,0.01436,Reform + Transfuse
Exchange,Reform,0.007380000000000001,Exchange + Reform
Enrich,Plunder,0.007150000000000001,Enrich + Plunder
Move,Plunder,0.00704,Move + Plunder
Enrich,Move,0.0059900000000000005,Enrich + Move
Alternate Trust,Plunder,0.00547,Alternate Trust + Plunder
Foreshadow,Reform,0.00538,Foreshadow + Reform
Alternate Trust,Move,0.00441,Alternate Trust + Move
Alternate Trust,Enrich,0.0041199999999999995,Alternate Trust + Enrich
Plunder,Reform,0.00182,Plunder + Reform
Enrich,Reform,0.00151,Enrich + Reform
Move,Reform,0.00141,Move + Reform
Alternate Trust,Reform,0.00121,Alternate Trust + Reform
