will_1,will_2,relative_prob,will_combo
Foreshadow,Transfuse,0.49611,Foreshadow + Transfuse
Exchange,Foreshadow,0.16240000000000002,Exchange + Foreshadow
Exchange,Transfuse,0.12384,Exchange + Transfuse
Foreshadow,Plunder,0.034260000000000006,Foreshadow + Plunder
Foreshadow,Move,0.031560000000000005,Foreshadow + Move
Alternate Trust,Foreshadow,0.0277,Alternate Trust + Foreshadow
Plunder,Transfuse,0.02551,Plunder + Transfuse
Move,Transfuse,0.02344,Move + Transfuse
Alternate Trust,Transfuse,0.02118,Alternate Trust + Transfuse
Enrich,Foreshadow,0.010159999999999999,Enrich + Foreshadow
Exchange,Plunder,0.0082,Exchange + Plunder
Enrich,Transfuse,0.007989999999999999,Enrich + Transfuse
Exchange,Move,0.0074600000000000005,Exchange + Move
Alternate Trust,Exchange,0.00714,Alternate Trust + Exchange
Enrich,Exchange,0.00246,Enrich + Exchange
Foreshadow,Reform,0.00232,Foreshadow + Reform
Reform,Transfuse,0.00189,Reform + Transfuse
Move,Plunder,0.0015900000000000003,Move + Plunder
Alternate Trust,Plunder,0.0014,Alternate Trust + Plunder
Alternate Trust,Move,0.00121,Alternate Trust + Move
Enrich,Plunder,0.00055,Enrich + Plunder
Exchange,Reform,0.00051,Exchange + Reform
Alternate Trust,Enrich,0.00039,Alternate Trust + Enrich
Enrich,Move,0.00037,Enrich + Move
Plunder,Reform,0.00014000000000000001,Plunder + Reform
Alternate Trust,Reform,0.00011,Alternate Trust + Reform
Move,Reform,8e-05,Move + Reform
Enrich,Reform,2.9999999999999997e-05,Enrich + Reform
