will_1,will_2,relative_prob,will_combo
Foreshadow,Move,0.37872000000000006,Foreshadow + Move
Foreshadow,Plunder,0.10390000000000002,Foreshadow + Plunder
Move,Plunder,0.09867,Move + Plunder
Exchange,Foreshadow,0.08456000000000001,Exchange + Foreshadow
Exchange,Move,0.08199999999999999,Exchange + Move
Foreshadow,Transfuse,0.057890000000000004,Foreshadow + Transfuse
Move,Transfuse,0.053410000000000006,Move + Transfuse
Exchange,Plunder,0.02274,Exchange + Plunder
Plunder,Transfuse,0.0141,Plunder + Transfuse
Enrich,Foreshadow,0.01395,Enrich + Foreshadow
Enrich,Move,0.013189999999999999,Enrich + Move
Foreshadow,Reform,0.01288,Foreshadow + Reform
Move,Reform,0.01214,Move + Reform
Exchange,Transfuse,0.01196,Exchange + Transfuse
Alternate Trust,Foreshadow,0.00914,Alternate Trust + Foreshadow
Alternate Trust,Move,0.00842,Alternate Trust + Move
Enrich,Plunder,0.00329,Enrich + Plunder
Plunder,Reform,0.0032199999999999993,Plunder + Reform
Enrich,Exchange,0.00281,Enrich + Exchange
Exchange,Reform,0.00275,Exchange + Reform
Alternate Trust,Plunder,0.0024000000000000002,Alternate Trust + Plunder
Alternate Trust,Exchange,0.00194,Alternate Trust + Exchange
Reform,Transfuse,0.00189,Reform + Transfuse
Enrich,Transfuse,0.00173,Enrich + Transfuse
Alternate Trust,Transfuse,0.0014500000000000001,Alternate Trust + Transfuse
Enrich,Reform,0.00031,Enrich + Reform
Alternate Trust,Enrich,0.00029,Alternate Trust + Enrich
Alternate Trust,Reform,0.00025000000000000006,Alternate Trust + Reform
