will_1,will_2,relative_prob,will_combo
Move,Shadow Infuse,0.32373999999999997,Move + Shadow Infuse
Exchange,Shadow Infuse,0.20612,Exchange + Shadow Infuse
Item Move,Shadow Infuse,0.11844,Item Move + Shadow Infuse
Reform,Shadow Infuse,0.09552,Reform + Shadow Infuse
Exchange,Move,0.06616,Exchange + Move
Item Move,Move,0.04106,Item Move + Move
Foreshadow,Shadow Infuse,0.03324,Foreshadow + Shadow Infuse
Move,Reform,0.03052,Move + Reform
Exchange,Item Move,0.0256,Exchange + Item Move
Exchange,Reform,0.01952,Exchange + Reform
Item Move,Reform,0.011460000000000001,Item Move + Reform
Foreshadow,Move,0.010239999999999999,Foreshadow + Move
Exchange,Foreshadow,0.00618,Exchange + Foreshadow
Foreshadow,Item Move,0.004059999999999999,Foreshadow + Item Move
Foreshadow,Reform,0.0030399999999999997,Foreshadow + Reform
Alternate Trust,Shadow Infuse,0.0014,Alternate Trust + Shadow Infuse
Shadow Infuse,Shadow Revoke,0.00136,Shadow Infuse + Shadow Revoke
Move,Shadow Revoke,0.00052,Move + Shadow Revoke
Alternate Trust,Move,0.00042,Alternate Trust + Move
Exchange,Shadow Revoke,0.00034,Exchange + Shadow Revoke
Alternate Trust,Exchange,0.00026000000000000003,Alternate Trust + Exchange
Item Move,Shadow Revoke,0.00021999999999999998,Item Move + Shadow Revoke
Alternate Trust,Item Move,0.00017999999999999998,Alternate Trust + Item Move
Alternate Trust,Reform,0.00016,Alternate Trust + Reform
Reform,Shadow Revoke,0.00014000000000000001,Reform + Shadow Revoke
Foreshadow,Shadow Revoke,6e-05,Foreshadow + Shadow Revoke
Alternate Trust,Foreshadow,4e-05,Alternate Trust + Foreshadow
