will_1,will_2,relative_prob,will_combo
Foreshadow,Shadow Infuse,0.5157799999999999,Foreshadow + Shadow Infuse
Foreshadow,Reform,0.10655999999999999,Foreshadow + Reform
Reform,Shadow Infuse,0.10522,Reform + Shadow Infuse
Exchange,Shadow Infuse,0.10078000000000001,Exchange + Shadow Infuse
Exchange,Foreshadow,0.09752,Exchange + Foreshadow
Exchange,Reform,0.01948,Exchange + Reform
Alternate Trust,Shadow Infuse,0.013359999999999999,Alternate Trust + Shadow Infuse
Alternate Trust,Foreshadow,0.01222,Alternate Trust + Foreshadow
Foreshadow,Move,0.01006,Foreshadow + Move
Move,Shadow Infuse,0.009619999999999998,Move + Shadow Infuse
Alternate Trust,Reform,0.00252,Alternate Trust + Reform
Move,Reform,0.00232,Move + Reform
Alternate Trust,Exchange,0.00216,Alternate Trust + Exchange
Exchange,Move,0.0020800000000000003,Exchange + Move
Alternate Trust,Move,0.00032,Alternate Trust + Move
