will_1,will_2,relative_prob,will_combo
Move,nan,0.80198,Move + nan
Exchange,nan,0.11372,Exchange + nan
Exchange,Move,0.04286,Exchange + Move
Magnify,nan,0.01518,Magnify + nan
Shadow Infuse,nan,0.01162,Shadow Infuse + nan
Magnify,Move,0.00576,Magnify + Move
Move,Shadow Infuse,0.00388,Move + Shadow Infuse
Item Steal,nan,0.00246,Item Steal + nan
Item Steal,Move,0.0010600000000000002,Item Steal + Move
Exchange,Magnify,0.0008,Exchange + Magnify
Exchange,Shadow Infuse,0.00056,Exchange + Shadow Infuse
Magnify,Shadow Infuse,6e-05,Magnify + Shadow Infuse
Exchange,Item Steal,6e-05,Exchange + Item Steal
